id,title,description,availability,condition,price,link,image_link,brand,google_product_category,custom_label_0
"geysers_crompton_rapid-jet-5l","Crompton Rapid Jet 5L - Geysers","2000W Nickel-Coated Copper Heating Element. 5 Litres Capacity — Ideal for 2–3 Users. 6.5 Bar Pressure Rating — Suitable for High-Rise Buildings. High-Grade 304L Stainless Steel Tank (Rust & Scale Proof). 4-Level Advanced Safety Shield (Capillary Thermostat & Auto Thermal Cut-off). High-Density PUF Insulation for Longer Heat Retention. Anti-Siphon Protection against Dry Heating Damage. Smart Bi-Color LED Indicators for Power & Heating. Wall-Mount Design — Space Saving Vertical Installation | Colors: White | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/geysers/rapid-jet-5l","https://jaibabaelectronic.vercel.app/assets/images/geysers/crompton-rapid-jet-3l.png","Crompton","Home & Garden > Household Appliances","Geysers"
"geysers_havells_instant-3l","Havells Instant 3L - Geysers","Instant heating. Compact body. Energy efficient | Colors: White, Grey | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/geysers/instant-3l","https://jaibabaelectronic.vercel.app/og-image.png","Havells","Home & Garden > Household Appliances","Geysers"
"geysers_orient-electric_rapidus-5-5l","Orient Electric Rapidus 5.5L - Geysers","3000W Heavy-Duty Copper Heating Element — Fast 33% Quicker Heating. 5.5 Litres Capacity — Ideal for 2–3 Users. 6.5 Bar Pressure Rating — Suitable for Mid-Rise Buildings. High-Grade Stainless Steel Tank (Rust & Corrosion Proof). 5-Level Advanced Safety Shield — Overheating, Dry Heat & Shock Protection. Pressure Relief Valve + Anti-Siphon Hole for Ultra-Safe Operation. Glass Wool Insulation for Superior Heat Retention & Energy Saving. Shock-Proof & Rust-Proof High-Strength Polymer Outer Body. Dual Neon Indicators for Power & Heating Status. IPX1 Humidity Protection — Designed for Bathroom & Kitchen Use. Compact Wall-Mount Design (30.7 × 28.2 × 52.5 cm) · Weight: 3 kg | Colors: White / Aqua Blue | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/geysers/rapidus-5-5l","https://jaibabaelectronic.vercel.app/assets/images/geysers/orient-rapidus-5-5l.png","Orient Electric","Home & Garden > Household Appliances","Geysers"
"immersion-rods_orient_300w-rod","Orient 300W Rod - Immersion Rods","Fast heating. Powerful coil. Easy to store | Colors: Black, Silver | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/immersion-rods/300w-rod","https://jaibabaelectronic.vercel.app/og-image.png","Orient","Home & Garden > Household Appliances","Immersion Rods"
"table-fans_usha_desk-fan-12","Usha Desk Fan 12 - Table Fans","Compact design. Low power consumption. Adjustable tilt | Colors: White, Blue | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/table-fans/desk-fan-12","https://jaibabaelectronic.vercel.app/og-image.png","Usha","Home & Garden > Household Appliances","Table Fans"
"electric-irons_philips_steam-iron","Philips Steam Iron - Electric Irons","Steam burst. Non-stick soleplate. Comfortable grip | Colors: Blue, Grey | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/electric-irons/steam-iron","https://jaibabaelectronic.vercel.app/og-image.png","Philips","Home & Garden > Household Appliances","Electric Irons"
"led-bulbs_surya_led-b22-9w","Surya LED B22 — 9W - LED Bulbs","9W LED — Replaces 75W Incandescent Bulb. 900 Lumens — Bright Cool Daylight (6500K). B22 Bayonet Base — Universally Compatible. 140V–280V Wide Voltage Range — Stable in Power Fluctuations. 25,000 Hours Rated Lifespan — Long Lasting. Up to 85% Energy Saving vs Traditional Bulbs. Instant Start — No Warm-up Time, No Flicker. Polycarbonate Body + Aluminium Base — Durable Heat Dissipation. Mercury-Free & RoHS Compliant — Eco-Friendly. Power Factor ≥ 0.9 — High Efficiency | Colors: Cool Daylight (6500K), Warm White (3000K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/led-b22-9w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-led-b22.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_led-b22-12w","Surya LED B22 — 12W - LED Bulbs","12W LED — Replaces 100W Incandescent Bulb. 1200 Lumens — High Brightness Cool Daylight (6500K). B22 Bayonet Base — Universally Compatible. 140V–280V Wide Voltage Range — Stable in Power Fluctuations. 25,000 Hours Rated Lifespan — Long Lasting. Up to 85% Energy Saving vs Traditional Bulbs. Instant Start — No Warm-up Time, No Flicker. Polycarbonate Body + Aluminium Base — Durable Heat Dissipation. Mercury-Free & RoHS Compliant — Eco-Friendly | Colors: Cool Daylight (6500K), Warm White (3000K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/led-b22-12w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-led-b22.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_led-b22-7w","Surya LED B22 — 7W - LED Bulbs","7W LED — Replaces 60W Incandescent Bulb. 700 Lumens — Cool Daylight (6500K). B22 Bayonet Base — Universally Compatible. 140V–280V Wide Voltage Range. 25,000 Hours Rated Lifespan. Up to 85% Energy Saving. Instant Start — No Flicker. Eco-Friendly, Mercury-Free | Colors: Cool Daylight (6500K), Warm White (3000K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/led-b22-7w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-led-b22.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_led-b22-15w","Surya LED B22 — 15W - LED Bulbs","15W LED — Replaces 125W Incandescent Bulb. 1500 Lumens — Extra Bright Cool Daylight (6500K). B22 Bayonet Base — Universally Compatible. 140V–280V Wide Voltage Range. 25,000 Hours Rated Lifespan. Up to 85% Energy Saving. Instant Start — No Flicker. Ideal for Large Rooms, Halls & Offices. Eco-Friendly, Mercury-Free | Colors: Cool Daylight (6500K), Warm White (3000K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/led-b22-15w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-led-b22.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_led-b22-23w","Surya LED B22 — 23W - LED Bulbs","23W LED — Replaces 200W Incandescent Bulb. 2300 Lumens — Powerful Bright Daylight (6500K). B22 Bayonet Base — Universally Compatible. 140V–280V Wide Voltage Range. 25,000 Hours Rated Lifespan. Up to 85% Energy Saving. Ideal for Shops, Warehouses & Large Halls. Eco-Friendly, Mercury-Free | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/led-b22-23w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-led-b22.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_neo-maxx-0-5w","Surya Neo Maxx 0.5W - LED Bulbs","0.5W Ultra-Low Power — Decorative Night Lamp. 20 Lumens — Soft Ambient Glow, Ideal for Night Use. B22 Bayonet Base — Standard Holder Compatible. 25,000 Hours Rated Lifespan — Virtually Maintenance Free. Available in 8 Vibrant Colors — Orange, White, Green, Red, Blue, Yellow, Pink. No UV / No IR Radiation — Safe for All Environments. Polycarbonate Body — Shatter Resistant & Durable. Wide Voltage Range — Stable in Indian Power Conditions. Instant On — No Warm-up, No Flicker. Eco-Friendly, Mercury-Free & RoHS Compliant. Perfect for Staircases, Corridors, Festive Decor & Religious Settings | Colors: Orange, White, Green, Red, Blue, Yellow, Pink | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/neo-maxx-0-5w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-neo-maxx-0-5w.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_duro-led-30w","Surya Duro LED — 30W - LED Bulbs","30W High-Power T-Shape LED Lamp. 3150 Lumens — Super Bright Cool Daylight (6500K). B22 Bayonet Base — Standard Holder Compatible. Replaces 250W CFL / Traditional Lamp. 25,000 Hours Rated Lifespan. Wide Operating Voltage — Stable in Power Fluctuations. No UV / No IR Radiation — Safe & Eco-Friendly. Heat-Dissipating Body Design — Longer Lamp Life. Ideal for Shops, Offices & Medium Halls | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/duro-led-30w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-duro-led.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_duro-led-40w","Surya Duro LED — 40W - LED Bulbs","40W High-Power T-Shape LED Lamp. 4200 Lumens — Extra Bright Cool Daylight (6500K). B22 Bayonet Base — Standard Holder Compatible. Replaces 350W CFL / Traditional Lamp. 25,000 Hours Rated Lifespan. Wide Operating Voltage — Stable in Power Fluctuations. No UV / No IR Radiation — Safe & Eco-Friendly. Heat-Dissipating Body Design — Longer Lamp Life. Ideal for Large Shops, Showrooms & Halls | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/duro-led-40w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-duro-led.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_duro-led-50w","Surya Duro LED — 50W - LED Bulbs","50W High-Power T-Shape LED Lamp. 5250 Lumens — Very Bright Cool Daylight (6500K). B22 Bayonet Base — Standard Holder Compatible. Replaces 450W Traditional Lamp. 25,000 Hours Rated Lifespan. Wide Operating Voltage — Stable in Power Fluctuations. No UV / No IR Radiation — Safe & Eco-Friendly. Heat-Dissipating Body Design — Longer Lamp Life. Ideal for Warehouses, Factories & Large Halls | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/duro-led-50w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-duro-led.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_duro-led-60w","Surya Duro LED — 60W - LED Bulbs","60W High-Power T-Shape LED Lamp. 6000 Lumens — Extremely Bright Cool Daylight (6500K). B22 Bayonet Base — Standard Holder Compatible. Replaces 500W Traditional Lamp. 25,000 Hours Rated Lifespan. Wide Operating Voltage — Stable in Power Fluctuations. No UV / No IR Radiation — Safe & Eco-Friendly. Ideal for Commercial Spaces, Factories & Sports Areas | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/duro-led-60w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-duro-led.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_duro-led-80w","Surya Duro LED — 80W - LED Bulbs","80W Ultra High-Power T-Shape LED Lamp. 8000 Lumens — Maximum Brightness Cool Daylight (6500K). B22 Bayonet Base — Standard Holder Compatible. Replaces 700W Traditional Lamp. 25,000 Hours Rated Lifespan. Wide Operating Voltage — Stable in Power Fluctuations. No UV / No IR Radiation — Safe & Eco-Friendly. Superior Heat Management — High-Durability Body. Best for Industrial Spaces, Large Halls & Outdoor Canopies | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/duro-led-80w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-duro-led.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_turbo-inverter-10w","Surya Turbo Inverter — 10W - LED Bulbs","10W Inverter LED — Works as Normal Bulb + Emergency Backup. Auto ON During Power Cut — No Switch, No Inverter Required. 3–4 Hours Battery Backup on Full Charge. 500+ Recharge Cycles — Long Battery Life. B22 Bayonet Base — Fits Any Standard Holder. ~8–10 Hours Full Charge Time. Operates at 50% Brightness in Battery Mode (Extends Backup). 25,000 Hours LED Lifespan. Wide Voltage Range — Handles Indian Power Fluctuations. No UV / No IR — Safe & Eco-Friendly. Ideal for Homes, Small Offices & Common Areas | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/turbo-inverter-10w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-turbo-inverter.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_turbo-inverter-15w","Surya Turbo Inverter — 15W - LED Bulbs","15W Inverter LED — Works as Normal Bulb + Emergency Backup. Auto ON During Power Cut — No Switch, No Inverter Required. 3–4 Hours Battery Backup on Full Charge. 500+ Recharge Cycles — Long Battery Life. B22 Bayonet Base — Fits Any Standard Holder. ~8–10 Hours Full Charge Time. Operates at 50% Brightness in Battery Mode (Extends Backup). 25,000 Hours LED Lifespan. Wide Voltage Range — Handles Indian Power Fluctuations. No UV / No IR — Safe & Eco-Friendly. Brighter Output — Suitable for Larger Rooms & Halls | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/turbo-inverter-15w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-turbo-inverter.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_turbo-inverter-20w","Surya Turbo Inverter — 20W - LED Bulbs","20W Inverter LED — Works as Normal Bulb + Emergency Backup. Auto ON During Power Cut — No Switch, No Inverter Required. 3–4 Hours Battery Backup on Full Charge. 500+ Recharge Cycles — Long Battery Life. B22 Bayonet Base — Fits Any Standard Holder. ~8–10 Hours Full Charge Time. Operates at 50% Brightness in Battery Mode (Extends Backup). 25,000 Hours LED Lifespan. Wide Voltage Range — Handles Indian Power Fluctuations. High Brightness — Best for Living Rooms, Shops & Offices. No UV / No IR — Safe & Eco-Friendly | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/turbo-inverter-20w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-turbo-inverter.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_surya_turbo-inverter-50w","Surya Turbo Inverter — 50W - LED Bulbs","50W High-Power Inverter LED — Emergency + Normal Use. Auto ON During Power Cut — No Switch, No Inverter Required. 3–4 Hours Battery Backup on Full Charge. 500+ Recharge Cycles — Long Battery Life. B22 Bayonet Base — Fits Any Standard Holder. ~8–10 Hours Full Charge Time. Operates at 50% Brightness in Battery Mode (Extends Backup). 25,000 Hours LED Lifespan. Maximum Brightness — Ideal for Large Halls, Shops & Commercial Spaces. No UV / No IR — Safe & Eco-Friendly | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/turbo-inverter-50w","https://jaibabaelectronic.vercel.app/assets/images/led-bulbs/surya-turbo-inverter.png","Surya","Home & Garden > Household Appliances","LED Bulbs"
"led-bulbs_syska_9w-led","Syska 9W LED - LED Bulbs","Low power use. Long life. Warm white output | Colors: Warm White, Cool White | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-bulbs/9w-led","https://jaibabaelectronic.vercel.app/og-image.png","Syska","Home & Garden > Household Appliances","LED Bulbs"
"led-battens_surya_g-line-eco-5w","Surya G-Line Eco — 5W - LED Battens","5W Slim Profile LED Batten (1 Foot). 450 Lumens — Glare-Free Frosted Diffuser. Up to 50% Energy Saving vs Conventional Lights. Surge Protection up to 2.5kV. Wide Voltage Range (140V–280V AC). 25,000 Hours Rated Service Life. Polycarbonate Housing — Corrosion & Shatter Resistant. Easy Clip-On Mounting for Wall or Ceiling. Ideal for Mirrors, Kitchen Counters & Wardrobes | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-battens/g-line-eco-5w","https://jaibabaelectronic.vercel.app/assets/images/led-battens/surya-g-line-eco-batten.png","Surya","Home & Garden > Household Appliances","LED Battens"
"led-battens_surya_g-line-eco-10w","Surya G-Line Eco — 10W - LED Battens","10W Compact LED Batten (1.5–2 Feet). 900 Lumens — High Brightness Output. Up to 50% Energy Saving vs Conventional Lights. Surge Protection up to 2.5kV. Wide Voltage Range (140V–280V AC). 25,000 Hours Rated Service Life. Polycarbonate Housing — Lightweight & Durable. Ideal for Bathrooms, Balconies & Passages | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-battens/g-line-eco-10w","https://jaibabaelectronic.vercel.app/assets/images/led-battens/surya-g-line-eco-batten.png","Surya","Home & Garden > Household Appliances","LED Battens"
"led-battens_surya_g-line-eco-20w","Surya G-Line Eco — 20W - LED Battens","20W Standard 4-Foot LED Batten — Replaces 40W Tubelight. 2000 Lumens — Extra Bright 100 lm/W Efficacy. 50% Direct Energy Savings over Fluorescent Tube Lights. Wide 120° Beam Angle for Uniform Room Illumination. Surge Protection up to 2.5kV & 140V–280V Wide Voltage. 25,000 Hours Rated Service Life. Flicker-Free Instant Start — Zero Choke, Zero Starter. Robust Polycarbonate Body with Non-Yellowing Diffuser. Most Popular Size — Ideal for Bedrooms & Living Rooms | Colors: Cool Daylight (6500K), Warm White (3000K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-battens/g-line-eco-20w","https://jaibabaelectronic.vercel.app/assets/images/led-battens/surya-g-line-eco-batten.png","Surya","Home & Garden > Household Appliances","LED Battens"
"led-battens_surya_g-line-eco-22w","Surya G-Line Eco — 22W - LED Battens","22W High-Output 4-Foot LED Batten. 2200 Lumens — Enhanced Everyday Brightness. 50% Energy Saving over Conventional FTL. Wide 120° Beam Spread — No Dark Spots. Surge Protection up to 2.5kV. 25,000 Hours Long Operational Life. Durable Polycarbonate Extrusion Housing. Ideal for Study Rooms, Classrooms & Offices | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-battens/g-line-eco-22w","https://jaibabaelectronic.vercel.app/assets/images/led-battens/surya-g-line-eco-batten.png","Surya","Home & Garden > Household Appliances","LED Battens"
"led-battens_surya_g-line-eco-25w","Surya G-Line Eco — 25W - LED Battens","25W Super Bright 4-Foot LED Batten. 2500 Lumens — High Lumen Output for Clear Vision. Energy-Efficient LED Driver with Power Factor ≥ 0.9. Surge Protection up to 2.5kV. 25,000 Hours Rated Lifespan. Glare-Free Even Light Distribution. Ideal for Commercial Offices, Retail Stores & Large Living Rooms | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-battens/g-line-eco-25w","https://jaibabaelectronic.vercel.app/assets/images/led-battens/surya-g-line-eco-batten.png","Surya","Home & Garden > Household Appliances","LED Battens"
"led-battens_surya_g-line-eco-30w","Surya G-Line Eco — 30W - LED Battens","30W Ultra Bright 4-Foot Commercial Batten. 3000 Lumens — Powerful Illumination. Heavy Duty Extruded Body for Better Heat Dissipation. Surge Protection up to 3kV. Wide Voltage Tolerance (140V–280V AC). 25,000 Hours Rated Lifespan. Best for Supermarkets, Garages & Retail Outlets | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-battens/g-line-eco-30w","https://jaibabaelectronic.vercel.app/assets/images/led-battens/surya-g-line-eco-batten.png","Surya","Home & Garden > Household Appliances","LED Battens"
"led-battens_surya_g-line-eco-36w","Surya G-Line Eco — 36W - LED Battens","36W High-Lumen 4-Foot Commercial Batten. 3600 Lumens — Industrial Grade Brightness. High-Efficiency Driver with Over-Voltage & Surge Protection. Heavy Duty Construction — Built for Long Duty Cycles. 25,000 Hours Rated Lifespan. Ideal for Hospitals, Workshops, Basements & Banquet Halls | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-battens/g-line-eco-36w","https://jaibabaelectronic.vercel.app/assets/images/led-battens/surya-g-line-eco-batten.png","Surya","Home & Garden > Household Appliances","LED Battens"
"led-battens_surya_g-line-eco-50w","Surya G-Line Eco — 50W - LED Battens","50W Maximum Output Heavy Duty LED Batten. 5000 Lumens — Maximum Illumination for Large Volumes. Advanced Thermal Management with Robust Housing. Surge Protection up to 3kV & High Surge Resistance. 25,000 Hours Rated Lifespan. Zero Stroboscopic Effect — Safe for Machinery & Workshops. Ideal for Warehouses, Factory Floors, Auditoriums & Parking Lots | Colors: Cool Daylight (6500K) | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/led-battens/g-line-eco-50w","https://jaibabaelectronic.vercel.app/assets/images/led-battens/surya-g-line-eco-batten.png","Surya","Home & Garden > Household Appliances","LED Battens"
"bluetooth-speakers_boat_soundbar-mini","Boat Soundbar Mini - Bluetooth Speakers","Bluetooth connectivity. Portable design. Balanced sound | Colors: Black, Blue | Genuine wholesale & retail from Jai Baba Electronic Malkapur.","in stock","new","0.00 INR","https://jaibabaelectronic.vercel.app/catalog/bluetooth-speakers/soundbar-mini","https://jaibabaelectronic.vercel.app/og-image.png","Boat","Home & Garden > Household Appliances","Bluetooth Speakers"
